"Fiscal_Year","Contracting_Agency_ID","fundingrequestingagencyid","ContractingOfficeID","fundingrequestingofficeid","PlatformPortfolio","ProjectID","ProductOrServiceCode","ClaimantProgramCode","CompetitionClassification","ClassifyNumberOfOffers","PricingMechanism","research_code","VendorSize","ParentID","dunsnumber","CSIStransactionID","CSIScontractID","idvpiid","idvagencyid","agencyid","PIID","NumberOfActions","Action_Obligation_Then_Year","progsourceagency","progsourceaccount","progsourcesubacct","account_title","rec_flag","treasury_accounts_funding_this_award","federal_accounts_funding_this_award","usaspending_permalink","MainAccountTitle","ContractingAgencyName","Customer","SubCustomer","SubCustomer.sum","SubCustomer.platform","Competition.detail","Competition.sum","Competition.Graph","Competition.effective.only","Competition.multisum","No.Competition.sum","No.Competition.Offer","CompOffr","ProductOrServiceCodeText","SimpleArea","ProductOrServiceArea","ProductServiceOrRnDarea","CrisisProductOrServiceArea","Project.Name","IsUnknown","SubCustomer.JPO","Shiny.VendorSize","Action_Obligation_OMB23_GDP21","dFYear","descriptionofcontractrequirement","recipient_uei","recipient_parent_uei","parentdunsnumber","vendorname","standardizedvendorname","principalnaicscode"
2009,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC61","A1B","Limited Competition with multiple offers","10-24 Offers","Firm Fixed Price","SR1","Small",NA,"038491002",15119840,1420646,"","",9700,"FA865009M2969",1,99575,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",122223.472872451,2009-01-01,"AF083-101; SBIR I; ULTRAFAST FIBER LASER SYSTEM","R1Y4LG8WRBF8",NA,38491002,"POLARONYX, INC.","POLARONYX",541711
2000,"2100","2100","AH01","","Aircraft",113,"AD92","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"197187602",31006516,492996,"","",9700,"DAAH0100CR010",1,364989,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","OTHER DEFENSE (APPLIED/EXPLORATORY)","R&D","R&D","Applied Research (6.2)","R&D","AH-64 APACHE",0,"Army","Small",561080.748246509,2000-01-01,"","HMC9E3DLBP75",NA,197187602,"CYBERNET SYSTEMS CORPORATION","CYBERNET SYSTEMS",NA
2020,"5700","5700","FA8100","F3YCAE","Aircraft",NA,"AD22","A1B","Competition with single offer","One Offer","Firm Fixed Price","SR2","Small",NA,"197187602",86789548,72116595,"","",9700,"FA810018C0010",1,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/#/award/CONT_AWD_FA810018C0010_9700_-NONE-_-NONE-/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2020-01-01,"NDI TRACKER MOBILE C-SCAN GENERATION","HMC9E3DLBP75",NA,197187602,"CYBERNET SYSTEMS CORPORATION","CYBERNET SYSTEMS",541715
2021,"5700","5700","FA8650","F4FBQH","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"780026220",104674064,61826094,"","",9700,"FA865015C2511",1,1335336.125,NA,NA,NA,NA,NA,"057-2018/2019-3600-000;057-2019/2020-3600-000;057-2020/2021-3600-000;057-2021/2022-3600-000","057-3600","https://www.usaspending.gov/award/CONT_AWD_FA865015C2511_9700_-NONE-_-NONE-/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",1335336.125,2021-01-01,"CONTINUATION OF THE GSI TASK 5 ADD-WORK - IF","E2DLZMNA2361","E2DLZMNA2361",780026220,"GOHYPERSONIC INCORPORATED","GOHYPERSONIC",541712
2020,"9763","5700","S3605A","FA8650","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","10-24 Offers","Firm Fixed Price","SR1","Small",NA,"004475216",86793690,72127526,"","",9700,"FA865018P2256",1,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/#/award/CONT_AWD_FA865018P2256_9700_-NONE-_-NONE-/",NA,"DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Other DoD","Small",0,2020-01-01,"""THE HEXAHEDRALIZATION SENSATION"" SBIR PHASE I",NA,NA,4475216,"ARCTOS TECHNOLOGY SOLUTIONS, LLC","ARCTOS TECHNOLOGY SOLUTIONS",541715
2003,"2100","2100","AH10","","Aircraft",NA,"AD22","A1B","Limited Competition with multiple offers","10-24 Offers","Firm Fixed Price","SR1","Small",NA,"118276083",3317872,497227,"","",9700,"DAAH1003C0025",1,70000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Army","Small",100295.138935181,2003-01-01,"",NA,NA,118276083,"LOCUST, U S A , INC","LOCUST, USA",541330
2009,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","10-24 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"829284483",20085565,1420296,"","",9700,"FA865009C2915",1,375000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",460294.273935918,2009-01-01,"CONJUGATE HEAT TRANSFER ANALYSIS CAPABILITY FOR GAS TURBINE","K6JFWXADHSG6",NA,829284483,"AERODYNAMIC SOLUTIONS, INC.","AERODYNAMIC SOLUTIONS",541712
2011,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","10-24 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"141807185",30021758,1420275,"","",9700,"FA865009C2010",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",0,2011-01-01,"TERMINATION CONVENIENCE",NA,NA,141807185,"INNOVATIVE ENERGY SOLUTION, CO.","INNOVATIVE ENERGY SOLUTION",541712
2009,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC61","A1B","Limited Competition with multiple offers","25-99 Offers","Firm Fixed Price","SR1","Small",NA,"196894869",29165318,1420627,"","",9700,"FA865009M2950",1,1e+05,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",122745.139716245,2009-01-01,"SBIR PHASE 1",NA,NA,196894869,"ORBITAL TECHNOLOGIES CORPORATION","ORBITAL TECHNOLOGIES",541711
2007,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"050096726",22691636,1418990,"","",9700,"FA865007C2732",1,187500,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",237801.866085145,2007-01-01,"INCREASE IN FUNDING AND CDRL A003 CORRECTION",NA,NA,50096726,"PLASMA TECHNOLOGY INCORPORATED","PLASMA TECHNOLOGY",541710
2019,"5700","5700","FA8650","F4FRQT","Aircraft",NA,"AD91","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR1","Small",NA,"080964949",79491288,77190183,"","",9700,"FA865019P2020",1,149999.6563,NA,NA,NA,NA,NA,"057-2018/2019-3600-000;057-2019/2020-3600-000","057-3600","https://www.usaspending.gov/#/award/CONT_AWD_FA865019P2020_9700_-NONE-_-NONE-/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","OTHER DEFENSE (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",157082.935700097,2019-01-01,"HIGH DEFINITION, MASK-FREE MESOPLASMA DEPOSITION TOOL","WNEEJHCJCRP8",NA,81380198,"CVD MESOSCRIBE TECHNOLOGIES CORPORATION","CVD MESOSCRIBE TECHNOLOGIES",541715
2021,"5700","5700","FA8650","F4FBQH","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR2","Small",NA,"884812025",107029825,87657217,"","",9700,"FA865021C2305",1,724179,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_AWD_FA865021C2305_9700_-NONE-_-NONE-/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",724179,2021-01-01,"MULTI-PHASE FUEL INJECTION MODELING FOR SCRAMJET APPLICATION (SBIR II)","GE6SB9D2NFM3","GE6SB9D2NFM3",884812025,"INNOVATIVE SCIENTIFIC SOLUTIONS, INC","INNOVATIVE SCIENTIFIC SOLUTIONS",541715
2009,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC61","A1B","Limited Competition with multiple offers","10-24 Offers","Firm Fixed Price","SR1","Small",NA,"782766831",7459059,1420648,"","",9700,"FA865009M2971",1,99717,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",122397.770970848,2009-01-01,"AF083-101; SBIR I; FEMTOSECOND TEMPORAL PULSE","C3DAVH4VJDG3",NA,782766831,"SPECTRAL ENERGIES, LLC","SPECTRAL ENERGIES",541711
2010,"5700","9700","FA8650","HQ0287","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"072021041",11016300,1419683,"","",9700,"FA865008C2914",1,269682,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",325183.242376472,2010-01-01,"INCREMENTAL FUNDING",NA,NA,72021041,"CREARE INCORPORATED","CREARE",541712
2004,"5700","5700","GR14","","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"128738205",3950557,1184519,"","",9700,"F3361501C2115",1,22423,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",31296.8521556873,2004-01-01,"",NA,NA,128738205,"ADVANCED COMPONENTS & MATERIAL","ADVANCED COMPONENTS & MATERIAL",541710
2013,"5700","5700","FA8117","F3YCAE","Aircraft",NA,"AZ11","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR2","Small",NA,"024384633",36449220,1372897,"","",9700,"FA811712C0001",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",0,2013-01-01,"SBIR PHASE II  TOPIC AF093-193 MULTI ATTRIBUTE RELIABILITY AND MAINTAINABILITY ENGINEERING ASSESSMENT METHODOLOGY","YSC7Q9EN6JD5",NA,24384633,"ANAUTICS, INC.","ANAUTICS",541712
2013,"5700","5700","FA8650","F4FBEY","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","10-24 Offers","Cost Plus Fixed Fee","SR2","Large (Small Subsidiary)","COMPUTER SCIENCES","096857313",36160868,25155002,"","",9700,"FA865013C2306",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Large",0,2013-01-01,"IGF::OT::IGF ADAPTIVE NOZZLE TECHNOLOGY FOR MITIGATION OF HI SPEED JET EXHAUST - CHANGE IN CDRLS",NA,NA,96857313,"CONTINUUM DYNAMICS INC","CONTINUUM DYNAMICS",541712
2013,"5700","5700","FA8650","F4FBEY","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"133132691",34710993,1422085,"","",9700,"FA865012C2239",1,0,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2013-01-01,"SBIR II:THERMALLY EFFICENT FUEL MANAGEMENT TECHNOLOGY","KEYKD72LAET7",NA,133132691,"TURNKEY DESIGN SERVICES","TURNKEY DESIGN SERVICES",541712
2007,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","25-99 Offers","Firm Fixed Price","SR2","Small",NA,"170204825",4732224,1418986,"","",9700,"FA865007C2728",1,-187500,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",-237801.866085145,2007-01-01,"IDENTIFICATION OF INTEGRALLY BLADED ROTOR (IBR) DAMPING","SV8XUL8L27J4",NA,170204825,"BLADE DIAGNOSTICS CORPORATION","BLADE DIAGNOSTICS",541330
2006,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC11","A1B","Limited Competition with multiple offers","3-4 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"196231166",20341723,1418396,"","",9700,"FA865006C2660",1,375000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","3-4 Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","DEFENSE AIRCRAFT (BASIC)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",488858.174574349,2006-01-01,"","RSALD9ULYWG3",NA,196231166,"REACTION SYSTEMS, LLC","REACTION SYSTEMS",541710
2009,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC61","A1B","Limited Competition with multiple offers","25-99 Offers","Firm Fixed Price","SR1","Small",NA,"128688111",21457255,1420614,"","",9700,"FA865009M2030",1,99958,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",122693.586757564,2009-01-01,"RZ WEST SBIR I; AF083-115; ARRAYED SENSORS","QXCGJ12J54P2",NA,128688111,"SPORIAN MICROSYSTEMS INC","SPORIAN MICROSYSTEMS",541712
2010,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"884812025",27243167,1419670,"","",9700,"FA865008C2856",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2010-01-01,"NO-COST TIME EXTENSION",NA,NA,884812025,"INNOVATIVE SCIENTIFIC SOLUTIONS, INC","INNOVATIVE SCIENTIFIC SOLUTIONS",541712
2011,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"798073391",22242918,1421505,"","",9700,"FA865011C2109",1,375000,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",441711.693166506,2011-01-01,"CERAMIC MATRIX COMPOSITE LOW PRESSURE TURBINE BLADE DEVLPMNT","WRLGUJSGKJG8",NA,798073391,"HYPER-THERM HIGH-TEMPERATURE COMPOSITES, INC.","HYPER THERM HIGH TEMPERATURE COMPOSITES",541712
2017,"5700","5700","FA8650","F4FRQH","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"883926594",70926390,27147223,"","",NA,"FA865014C2427",1,0,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2017-01-01,"IGF::OT::IGF  BEARINGS FOR HIGH-SPEED CRUISE MISSILE ENGINE NCTE",NA,NA,883926594,"MOHAWK INNOVATIVE TECHNOLOGY, INC.","MOHAWK INNOVATIVE TECHNOLOGY",541712
2012,"5700","5700","FA8117","F3YCAE","Aircraft",NA,"AZ11","A1B","Limited Competition with multiple offers","10-24 Offers","Firm Fixed Price","ST1","Small",NA,"039442053",3666138,1372904,"","",9700,"FA811712C0008",1,149926.1719,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",173224.699043574,2012-01-01,"SBIR PHASE I AWARD TOPIC AF0112-206",NA,NA,39442053,"POM GROUP, INC.,THE","POM GROUP, INC",541712
2009,"2100","2100","W909MY","W15GK8","Aircraft",NA,"AD93","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR2","Small",NA,"169175267",10214759,8030977,"","",9700,"W909MY08C0002",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","OTHER DEFENSE (ADVANCED)","R&D","R&D","Advanced Technology Development (6.3)","R&D",NA,NA,"Army","Small",0,2009-01-01,"SBIR PHASE II","KYNSRSFX4HD8",NA,169175267,"ONE CYCLE CONTROL INCORPORATED","ONE CYCLE CONTROL",541712
2009,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"017391348",18588013,1420292,"","",9700,"FA865009C2911",1,375000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",460294.273935918,2009-01-01,"SBIR PHASE II - ADVANCED HEAT EXCHANGER (HEX) SCALING METHOD","DW1BZN2H1L71",NA,17391348,"SPIRITECH ADVANCED PRODUCTS, INC.","SPIRITECH ADVANCED PRODUCTS",541712
2010,"2100","2100","W911W6","W911W6","Aircraft",NA,"AZ14","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR2","Small",NA,"084066641",29337443,8148902,"","",9700,"W911W605C0002",1,-0.02,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT)","R&D","R&D","Advanced Component Development & Prototypes (6.4)","R&D",NA,NA,"Army","Small",-0.0241160509323182,2010-01-01,"DEOBLIGATION OF FUNDS","WU4UNS7CYLN6",NA,84066641,"CANDENT TECHNOLOGIES INCORPORA","CANDENT TECHNOLOGIES",541710
2010,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"782766831",5800308,1420944,"","",9700,"FA865010C2112",1,375000,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",452175.954980966,2010-01-01,"HIGH-BANDWIDTH NONINVASIVE SENSOR SYSTEMS FOR MEASURING ENTHALPY AND MASS FLUX IN DETONATION-POWERED DEVICES","C3DAVH4VJDG3",NA,782766831,"SPECTRAL ENERGIES, LLC","SPECTRAL ENERGIES",541712
2012,"5700","5700","FA8650","F4FBEY","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR2","Small",NA,"782766831",2264793,1422087,"","",9700,"FA865012C2241",1,374571,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",432779.333475736,2012-01-01,"IDENTIFICATION AND ACTIVE CTRL OF JET NOISE SOURCES USING HI RES COUPLED MEASUREMENT DEVICES&METHODS","C3DAVH4VJDG3",NA,782766831,"SPECTRAL ENERGIES, LLC","SPECTRAL ENERGIES",541712
2007,"5700","5700","FA8650","FA8650","Aircraft",NA,"AE35","A1B","Limited Competition with multiple offers","25-99 Offers","Cost Plus Fixed Fee","SR2","Small",NA,"188465819",30288925,1417747,"","",9700,"FA865005C2608",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (OPERATIONAL SYSTEMS DEVELOPMENT)","R&D","R&D","System Development & Demonstration (6.5)","R&D",NA,NA,"Air Force","Small",0,2007-01-01,"EXTEND THE PERIOD OF PERFORMANCE",NA,NA,188465819,"METROLASER, INC","METROLASER",541710
